id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
6304,eggs,pet food,,,,,,,,,,,,,,,,,,
6305,red wine,salmon,,,,,,,,,,,,,,,,,,
6306,flax seed,green tea,,,,,,,,,,,,,,,,,,
6307,mineral water,carrots,,,,,,,,,,,,,,,,,,
6308,escalope,,,,,,,,,,,,,,,,,,,
6309,burgers,fresh tuna,tomatoes,fromage blanc,,,,,,,,,,,,,,,,
6310,honey,green tea,melons,,,,,,,,,,,,,,,,,
6311,spaghetti,escalope,,,,,,,,,,,,,,,,,,
6312,burgers,tomatoes,whole wheat pasta,mineral water,chocolate,olive oil,,,,,,,,,,,,,,
6313,herb & pepper,frozen vegetables,ground beef,spaghetti,mineral water,soup,pancakes,,,,,,,,,,,,,
6314,whole wheat pasta,butter,gums,cereals,body spray,green tea,,,,,,,,,,,,,,
6315,herb & pepper,ground beef,mineral water,milk,whole weat flour,,,,,,,,,,,,,,,
6316,turkey,soup,milk,french wine,whole wheat rice,cookies,,,,,,,,,,,,,,
6317,frozen vegetables,mineral water,pancakes,whole wheat rice,french fries,cookies,,,,,,,,,,,,,,
6318,mineral water,mayonnaise,,,,,,,,,,,,,,,,,,
6319,shrimp,whole wheat rice,cake,champagne,pancakes,green tea,,,,,,,,,,,,,,
6320,avocado,butter,low fat yogurt,green tea,,,,,,,,,,,,,,,,
6321,mineral water,french fries,protein bar,,,,,,,,,,,,,,,,,
6322,cake,yogurt cake,salad,,,,,,,,,,,,,,,,,
6323,chutney,eggs,escalope,,,,,,,,,,,,,,,,,
6324,spaghetti,mineral water,fromage blanc,french fries,,,,,,,,,,,,,,,,
6325,babies food,,,,,,,,,,,,,,,,,,,
6326,spaghetti,milk,strong cheese,chocolate,,,,,,,,,,,,,,,,
6327,pickles,eggs,,,,,,,,,,,,,,,,,,
6328,spaghetti,vegetables mix,eggs,chocolate,escalope,mushroom cream sauce,,,,,,,,,,,,,,
6329,frozen smoothie,,,,,,,,,,,,,,,,,,,
6330,whole wheat pasta,spaghetti,milk,,,,,,,,,,,,,,,,,
6331,spaghetti,mineral water,chocolate,milk,olive oil,salmon,eggs,cooking oil,fresh bread,,,,,,,,,,,
6332,blueberries,,,,,,,,,,,,,,,,,,,
6333,yogurt cake,,,,,,,,,,,,,,,,,,,
6334,chocolate,french fries,escalope,,,,,,,,,,,,,,,,,
6335,burgers,milk,cooking oil,hot dogs,,,,,,,,,,,,,,,,
6336,mineral water,yogurt cake,,,,,,,,,,,,,,,,,,
6337,energy bar,energy drink,,,,,,,,,,,,,,,,,,
6338,ham,spaghetti,milk,muffins,frozen smoothie,hot dogs,low fat yogurt,,,,,,,,,,,,,
6339,hot dogs,yogurt cake,,,,,,,,,,,,,,,,,,
6340,pickles,herb & pepper,vegetables mix,eggs,french fries,,,,,,,,,,,,,,,
6341,escalope,pasta,,,,,,,,,,,,,,,,,,
6342,shrimp,frozen vegetables,cake,melons,,,,,,,,,,,,,,,,
6343,muffins,french fries,champagne,shallot,,,,,,,,,,,,,,,,
6344,frozen vegetables,ground beef,milk,chicken,fromage blanc,whole wheat rice,ketchup,hot dogs,brownies,light mayo,,,,,,,,,,
6345,cooking oil,,,,,,,,,,,,,,,,,,,
6346,french fries,,,,,,,,,,,,,,,,,,,
6347,burgers,whole wheat rice,,,,,,,,,,,,,,,,,,
6348,energy bar,,,,,,,,,,,,,,,,,,,
6349,olive oil,,,,,,,,,,,,,,,,,,,
6350,frozen vegetables,,,,,,,,,,,,,,,,,,,
6351,tomato sauce,olive oil,gums,strawberries,low fat yogurt,,,,,,,,,,,,,,,
6352,mineral water,,,,,,,,,,,,,,,,,,,
6353,milk,escalope,champagne,,,,,,,,,,,,,,,,,
6354,red wine,ground beef,tomato sauce,spaghetti,chocolate,escalope,low fat yogurt,,,,,,,,,,,,,
6355,tomatoes,eggs,,,,,,,,,,,,,,,,,,
6356,spinach,,,,,,,,,,,,,,,,,,,
6357,mineral water,,,,,,,,,,,,,,,,,,,
6358,mineral water,whole wheat rice,frozen smoothie,,,,,,,,,,,,,,,,,
6359,burgers,eggs,,,,,,,,,,,,,,,,,,
6360,salad,,,,,,,,,,,,,,,,,,,
6361,herb & pepper,mineral water,milk,black tea,,,,,,,,,,,,,,,,
6362,burgers,mineral water,eggs,french fries,hot dogs,cottage cheese,brownies,gluten free bar,light mayo,,,,,,,,,,,
6363,burgers,energy bar,whole wheat rice,bug spray,french fries,hot dogs,sparkling water,shampoo,,,,,,,,,,,,
6364,frozen vegetables,green grapes,,,,,,,,,,,,,,,,,,
6365,turkey,green tea,,,,,,,,,,,,,,,,,,
6366,herb & pepper,ground beef,pancakes,burger sauce,french fries,,,,,,,,,,,,,,,
6367,soup,muffins,rice,cereals,,,,,,,,,,,,,,,,
6368,chocolate,cookies,light mayo,,,,,,,,,,,,,,,,,
6369,milk,low fat yogurt,,,,,,,,,,,,,,,,,,
6370,ground beef,spaghetti,carrots,chocolate,frozen smoothie,,,,,,,,,,,,,,,
6371,tomatoes,energy bar,vegetables mix,cottage cheese,pancakes,fresh bread,,,,,,,,,,,,,,
6372,chocolate,mineral water,,,,,,,,,,,,,,,,,,
6373,fresh tuna,mineral water,french wine,cereals,,,,,,,,,,,,,,,,
6374,yogurt cake,,,,,,,,,,,,,,,,,,,
6375,protein bar,tomato juice,fresh bread,honey,,,,,,,,,,,,,,,,
6376,eggs,cooking oil,eggplant,,,,,,,,,,,,,,,,,
6377,burgers,fresh tuna,milk,chicken,champagne,asparagus,white wine,,,,,,,,,,,,,
6378,green tea,frozen smoothie,,,,,,,,,,,,,,,,,,
6379,turkey,mineral water,,,,,,,,,,,,,,,,,,
6380,burgers,energy bar,whole wheat rice,cake,,,,,,,,,,,,,,,,
6381,mineral water,chocolate,milk,pancakes,eggs,,,,,,,,,,,,,,,
6382,avocado,energy bar,,,,,,,,,,,,,,,,,,
6383,tomatoes,spaghetti,mineral water,meatballs,salt,,,,,,,,,,,,,,,
6384,burgers,spaghetti,milk,carrots,chocolate,pasta,green tea,,,,,,,,,,,,,
6385,mineral water,cooking oil,extra dark chocolate,chocolate,escalope,brownies,fresh bread,,,,,,,,,,,,,
6386,hot dogs,yogurt cake,,,,,,,,,,,,,,,,,,
6387,burgers,eggs,escalope,,,,,,,,,,,,,,,,,
6388,escalope,,,,,,,,,,,,,,,,,,,
6389,whole weat flour,,,,,,,,,,,,,,,,,,,
6390,tomatoes,,,,,,,,,,,,,,,,,,,
6391,grated cheese,chocolate,champagne,green tea,,,,,,,,,,,,,,,,
6392,energy bar,cake,chocolate,frozen smoothie,escalope,,,,,,,,,,,,,,,
6393,mineral water,,,,,,,,,,,,,,,,,,,
6394,frozen vegetables,tomatoes,ground beef,chocolate,soup,strawberries,pancakes,,,,,,,,,,,,,
6395,turkey,chicken,honey,,,,,,,,,,,,,,,,,
6396,whole weat flour,,,,,,,,,,,,,,,,,,,
6397,chili,babies food,,,,,,,,,,,,,,,,,,
6398,french fries,,,,,,,,,,,,,,,,,,,
6399,ground beef,milk,energy bar,,,,,,,,,,,,,,,,,
6400,mineral water,,,,,,,,,,,,,,,,,,,
6401,shrimp,cereals,green tea,hot dogs,fresh bread,,,,,,,,,,,,,,,
6402,mineral water,soup,chicken,green tea,,,,,,,,,,,,,,,,
6403,french fries,energy drink,,,,,,,,,,,,,,,,,,
6404,burgers,milk,frozen smoothie,green tea,,,,,,,,,,,,,,,,
6405,olive oil,,,,,,,,,,,,,,,,,,,
6406,turkey,grated cheese,frozen vegetables,avocado,carrots,hot dogs,green tea,,,,,,,,,,,,,
6407,spaghetti,whole wheat rice,corn,champagne,,,,,,,,,,,,,,,,
6408,escalope,,,,,,,,,,,,,,,,,,,
6409,tomatoes,ground beef,soup,french wine,strong cheese,,,,,,,,,,,,,,,
6410,shrimp,mineral water,pancakes,yogurt cake,green tea,,,,,,,,,,,,,,,
6411,olive oil,,,,,,,,,,,,,,,,,,,
6412,olive oil,low fat yogurt,,,,,,,,,,,,,,,,,,
6413,spaghetti,meatballs,butter,almonds,chicken,fromage blanc,strong cheese,green beans,,,,,,,,,,,,
6414,frozen vegetables,mineral water,chicken,whole wheat rice,,,,,,,,,,,,,,,,
6415,frozen vegetables,eggs,honey,hot dogs,light mayo,,,,,,,,,,,,,,,
6416,energy drink,,,,,,,,,,,,,,,,,,,
6417,ham,whole wheat rice,melons,green tea,,,,,,,,,,,,,,,,
6418,french fries,cookies,shallot,hot dogs,green tea,,,,,,,,,,,,,,,
6419,milk,energy drink,,,,,,,,,,,,,,,,,,
6420,turkey,pepper,yams,chicken,whole wheat rice,eggplant,green tea,,,,,,,,,,,,,
6421,fresh tuna,tomatoes,pancakes,cake,gums,cereals,low fat yogurt,,,,,,,,,,,,,
6422,cookies,,,,,,,,,,,,,,,,,,,
6423,burgers,butter,carrots,chocolate,cookies,,,,,,,,,,,,,,,
6424,turkey,grated cheese,soup,green tea,,,,,,,,,,,,,,,,
6425,babies food,,,,,,,,,,,,,,,,,,,
6426,vegetables mix,,,,,,,,,,,,,,,,,,,
6427,mineral water,cake,gums,chicken,french fries,hot dogs,energy drink,,,,,,,,,,,,,
6428,butter,,,,,,,,,,,,,,,,,,,
6429,champagne,,,,,,,,,,,,,,,,,,,
6430,frozen smoothie,,,,,,,,,,,,,,,,,,,
6431,ground beef,spaghetti,mineral water,milk,cottage cheese,low fat yogurt,,,,,,,,,,,,,,
6432,turkey,mineral water,salmon,,,,,,,,,,,,,,,,,
6433,parmesan cheese,whole wheat rice,,,,,,,,,,,,,,,,,,
6434,parmesan cheese,chicken,magazines,,,,,,,,,,,,,,,,,
6435,escalope,,,,,,,,,,,,,,,,,,,
6436,eggs,fresh bread,green tea,,,,,,,,,,,,,,,,,
6437,eggs,chocolate,,,,,,,,,,,,,,,,,,
6438,soup,milk,low fat yogurt,,,,,,,,,,,,,,,,,
6439,burgers,shrimp,chocolate,milk,whole wheat rice,cooking oil,frozen smoothie,tomato juice,low fat yogurt,,,,,,,,,,,
6440,turkey,burgers,shrimp,salmon,vegetables mix,burger sauce,oil,green tea,brownies,tomato juice,,,,,,,,,,
6441,dessert wine,mineral water,eggs,champagne,pancakes,,,,,,,,,,,,,,,
6442,cookies,,,,,,,,,,,,,,,,,,,
6443,black tea,green tea,light mayo,,,,,,,,,,,,,,,,,
6444,grated cheese,herb & pepper,whole wheat pasta,pancakes,oil,,,,,,,,,,,,,,,
6445,frozen vegetables,,,,,,,,,,,,,,,,,,,
6446,tomatoes,parmesan cheese,vegetables mix,eggs,barbecue sauce,cookies,,,,,,,,,,,,,,
6447,shrimp,frozen vegetables,eggs,french fries,energy drink,,,,,,,,,,,,,,,
6448,ham,red wine,spaghetti,mineral water,eggs,light mayo,,,,,,,,,,,,,,
6449,green tea,,,,,,,,,,,,,,,,,,,
6450,red wine,mineral water,almonds,rice,green tea,,,,,,,,,,,,,,,
6451,ground beef,cooking oil,toothpaste,,,,,,,,,,,,,,,,,
6452,herb & pepper,ground beef,mineral water,flax seed,,,,,,,,,,,,,,,,
6453,cookies,hot dogs,,,,,,,,,,,,,,,,,,
6454,olive oil,butter,cake,cooking oil,cereals,pancakes,white wine,low fat yogurt,,,,,,,,,,,,
6455,frozen vegetables,milk,eggs,green tea,,,,,,,,,,,,,,,,
6456,frozen vegetables,mineral water,eggs,,,,,,,,,,,,,,,,,
6457,cake,,,,,,,,,,,,,,,,,,,
6458,frozen vegetables,meatballs,whole wheat rice,light cream,,,,,,,,,,,,,,,,
6459,chicken,energy drink,,,,,,,,,,,,,,,,,,
6460,pickles,mineral water,hand protein bar,,,,,,,,,,,,,,,,,
6461,ham,tomatoes,mineral water,french fries,low fat yogurt,,,,,,,,,,,,,,,
6462,turkey,burgers,eggs,french fries,shallot,energy drink,green tea,,,,,,,,,,,,,
6463,burgers,french fries,,,,,,,,,,,,,,,,,,
6464,frozen vegetables,pepper,mineral water,chicken,strong cheese,chocolate,french fries,,,,,,,,,,,,,
6465,turkey,whole wheat pasta,mineral water,rice,green tea,magazines,,,,,,,,,,,,,,
6466,frozen vegetables,french wine,salmon,pancakes,gums,,,,,,,,,,,,,,,
6467,olive oil,,,,,,,,,,,,,,,,,,,
6468,herb & pepper,mineral water,eggs,green tea,,,,,,,,,,,,,,,,
6469,fresh tuna,herb & pepper,shrimp,low fat yogurt,,,,,,,,,,,,,,,,
6470,frozen vegetables,green grapes,eggs,chocolate,zucchini,,,,,,,,,,,,,,,
6471,turkey,pancakes,barbecue sauce,melons,,,,,,,,,,,,,,,,
6472,burgers,tomatoes,ground beef,spaghetti,mineral water,milk,cake,french fries,fresh bread,green tea,,,,,,,,,,
6473,turkey,burgers,grated cheese,herb & pepper,red wine,frozen vegetables,ground beef,mineral water,milk,cider,eggs,cake,escalope,cookies,low fat yogurt,,,,,
6474,herb & pepper,frozen vegetables,cooking oil,chocolate,,,,,,,,,,,,,,,,
6475,turkey,burgers,fresh tuna,parmesan cheese,spaghetti,avocado,olive oil,chocolate,french fries,,,,,,,,,,,
6476,chocolate,mushroom cream sauce,,,,,,,,,,,,,,,,,,
6477,energy bar,,,,,,,,,,,,,,,,,,,
6478,cookies,,,,,,,,,,,,,,,,,,,
6479,cake,french fries,,,,,,,,,,,,,,,,,,
6480,turkey,frozen vegetables,spaghetti,corn,zucchini,,,,,,,,,,,,,,,
6481,spaghetti,french fries,green tea,,,,,,,,,,,,,,,,,
6482,turkey,eggs,cake,,,,,,,,,,,,,,,,,
6483,grated cheese,olive oil,eggs,oil,french fries,cottage cheese,pancakes,light mayo,,,,,,,,,,,,
6484,cookies,,,,,,,,,,,,,,,,,,,
6485,parmesan cheese,rice,white wine,,,,,,,,,,,,,,,,,
6486,chocolate,champagne,frozen smoothie,escalope,,,,,,,,,,,,,,,,
6487,herb & pepper,shrimp,pancakes,hot dogs,cottage cheese,fresh bread,,,,,,,,,,,,,,
6488,turkey,ham,mineral water,chocolate,milk,chicken,eggs,cake,,,,,,,,,,,,
6489,burgers,eggs,,,,,,,,,,,,,,,,,,
6490,low fat yogurt,,,,,,,,,,,,,,,,,,,
6491,fresh tuna,french wine,cake,frozen smoothie,,,,,,,,,,,,,,,,
6492,pickles,spaghetti,cottage cheese,,,,,,,,,,,,,,,,,
6493,shrimp,whole wheat pasta,cake,babies food,tomato juice,,,,,,,,,,,,,,,
6494,whole wheat pasta,spaghetti,milk,nonfat milk,oil,cooking oil,hot dogs,,,,,,,,,,,,,
6495,spaghetti,,,,,,,,,,,,,,,,,,,
6496,french fries,,,,,,,,,,,,,,,,,,,
6497,burgers,mineral water,milk,butter,eggs,,,,,,,,,,,,,,,
6498,dessert wine,herb & pepper,mineral water,milk,black tea,salmon,honey,blueberries,burger sauce,extra dark chocolate,frozen smoothie,,,,,,,,,
6499,french fries,,,,,,,,,,,,,,,,,,,
6500,energy bar,,,,,,,,,,,,,,,,,,,
6501,chocolate,frozen vegetables,ground beef,spaghetti,energy bar,green tea,escalope,pasta,,,,,,,,,,,,
6502,grated cheese,ground beef,mineral water,almonds,nonfat milk,pancakes,body spray,gluten free bar,light mayo,,,,,,,,,,,
6503,parmesan cheese,french wine,cooking oil,low fat yogurt,,,,,,,,,,,,,,,,
6504,burgers,pickles,gums,french fries,,,,,,,,,,,,,,,,
6505,french fries,,,,,,,,,,,,,,,,,,,
6506,herb & pepper,french fries,low fat yogurt,,,,,,,,,,,,,,,,,
6507,mineral water,chocolate,soup,,,,,,,,,,,,,,,,,
6508,oil,,,,,,,,,,,,,,,,,,,
6509,spaghetti,mineral water,energy bar,light cream,zucchini,,,,,,,,,,,,,,,
6510,tomatoes,chocolate,milk,,,,,,,,,,,,,,,,,
6511,turkey,herb & pepper,ground beef,meatballs,pancakes,,,,,,,,,,,,,,,
6512,mineral water,,,,,,,,,,,,,,,,,,,
6513,eggs,green tea,,,,,,,,,,,,,,,,,,
6514,red wine,ground beef,mineral water,salmon,eggs,pet food,,,,,,,,,,,,,,
6515,chocolate,cider,vegetables mix,pancakes,,,,,,,,,,,,,,,,
6516,burgers,spaghetti,olive oil,muffins,pancakes,eggs,green tea,chocolate,low fat yogurt,,,,,,,,,,,
6517,red wine,whole wheat pasta,spaghetti,mineral water,energy bar,black tea,french wine,cake,chocolate bread,brownies,,,,,,,,,,
6518,cooking oil,,,,,,,,,,,,,,,,,,,
6519,cookies,,,,,,,,,,,,,,,,,,,
6520,escalope,,,,,,,,,,,,,,,,,,,
6521,red wine,tomatoes,spaghetti,mineral water,soup,blueberries,,,,,,,,,,,,,,
6522,green tea,,,,,,,,,,,,,,,,,,,
6523,shrimp,frozen vegetables,parmesan cheese,ground beef,tomato sauce,spaghetti,mineral water,salmon,rice,clothes accessories,chocolate,champagne,frozen smoothie,fresh bread,,,,,,
6524,ground beef,pancakes,honey,,,,,,,,,,,,,,,,,
6525,whole wheat pasta,mineral water,milk,chicken,magazines,mayonnaise,,,,,,,,,,,,,,
6526,mineral water,chocolate,soup,olive oil,low fat yogurt,,,,,,,,,,,,,,,
6527,turkey,grated cheese,herb & pepper,frozen vegetables,spaghetti,mineral water,milk,eggs,gums,carrots,french fries,low fat yogurt,,,,,,,,
6528,spaghetti,mineral water,cake,cooking oil,chocolate,,,,,,,,,,,,,,,
6529,chicken,eggs,whole wheat rice,,,,,,,,,,,,,,,,,
6530,shrimp,milk,eggs,cake,,,,,,,,,,,,,,,,
6531,frozen vegetables,spaghetti,mineral water,cake,rice,zucchini,,,,,,,,,,,,,,
6532,spaghetti,eggs,,,,,,,,,,,,,,,,,,
6533,whole wheat rice,chicken,eggplant,green tea,french fries,,,,,,,,,,,,,,,
6534,energy drink,,,,,,,,,,,,,,,,,,,
6535,fromage blanc,eggs,yogurt cake,,,,,,,,,,,,,,,,,
6536,chocolate,grated cheese,salmon,cooking oil,,,,,,,,,,,,,,,,
6537,burgers,almonds,eggs,frozen smoothie,,,,,,,,,,,,,,,,
6538,burgers,eggs,cookies,,,,,,,,,,,,,,,,,
6539,chocolate,spaghetti,strawberries,green tea,,,,,,,,,,,,,,,,
6540,chicken,fromage blanc,energy drink,,,,,,,,,,,,,,,,,
6541,spaghetti,mineral water,pancakes,,,,,,,,,,,,,,,,,
6542,cake,cookies,,,,,,,,,,,,,,,,,,
6543,french fries,,,,,,,,,,,,,,,,,,,
6544,shrimp,spaghetti,mineral water,french fries,,,,,,,,,,,,,,,,
6545,mineral water,chicken,strawberries,,,,,,,,,,,,,,,,,
6546,soup,frozen smoothie,yogurt cake,,,,,,,,,,,,,,,,,
6547,spaghetti,,,,,,,,,,,,,,,,,,,
6548,herb & pepper,mineral water,almonds,,,,,,,,,,,,,,,,,
6549,milk,eggs,,,,,,,,,,,,,,,,,,
6550,pickles,chocolate,soup,french fries,,,,,,,,,,,,,,,,
6551,parmesan cheese,frozen smoothie,mushroom cream sauce,cottage cheese,brownies,yogurt cake,green tea,,,,,,,,,,,,,
6552,salmon,light cream,escalope,shallot,hot dogs,white wine,,,,,,,,,,,,,,
6553,burgers,frozen vegetables,tomatoes,corn,antioxydant juice,cookies,,,,,,,,,,,,,,
6554,grated cheese,shrimp,spaghetti,mineral water,olive oil,strong cheese,pancakes,green beans,frozen smoothie,cookies,energy drink,,,,,,,,,
6555,butter,,,,,,,,,,,,,,,,,,,
6556,bacon,,,,,,,,,,,,,,,,,,,
6557,frozen vegetables,mineral water,carrots,french fries,,,,,,,,,,,,,,,,
6558,turkey,melons,,,,,,,,,,,,,,,,,,
6559,burgers,french wine,cake,,,,,,,,,,,,,,,,,
6560,eggs,whole wheat rice,energy drink,,,,,,,,,,,,,,,,,
6561,french fries,escalope,pasta,mushroom cream sauce,,,,,,,,,,,,,,,,
6562,blueberries,,,,,,,,,,,,,,,,,,,
6563,french fries,,,,,,,,,,,,,,,,,,,
6564,burgers,tomatoes,ground beef,mineral water,eggs,cake,green tea,,,,,,,,,,,,,
6565,spaghetti,mineral water,whole wheat rice,cooking oil,,,,,,,,,,,,,,,,
6566,burgers,eggs,mushroom cream sauce,green tea,,,,,,,,,,,,,,,,
6567,spaghetti,mineral water,soup,olive oil,pancakes,whole wheat rice,light cream,green tea,,,,,,,,,,,,
6568,milk,pancakes,eggs,,,,,,,,,,,,,,,,,
6569,ham,ground beef,mineral water,soup,cake,,,,,,,,,,,,,,,
6570,turkey,grated cheese,spaghetti,whole wheat rice,carrots,green tea,low fat yogurt,,,,,,,,,,,,,
6571,spaghetti,mineral water,vegetables mix,cake,frozen smoothie,cottage cheese,green tea,,,,,,,,,,,,,
6572,whole wheat pasta,milk,green tea,,,,,,,,,,,,,,,,,
6573,eggs,,,,,,,,,,,,,,,,,,,
6574,energy bar,,,,,,,,,,,,,,,,,,,
6575,light cream,,,,,,,,,,,,,,,,,,,
6576,turkey,fresh tuna,mineral water,chicken,fromage blanc,honey,green tea,,,,,,,,,,,,,
6577,butter,eggs,,,,,,,,,,,,,,,,,,
6578,shrimp,frozen vegetables,pepper,spaghetti,cake,chocolate,low fat yogurt,,,,,,,,,,,,,
6579,mineral water,vegetables mix,barbecue sauce,eggplant,escalope,,,,,,,,,,,,,,,
6580,escalope,,,,,,,,,,,,,,,,,,,
6581,pepper,whole wheat rice,,,,,,,,,,,,,,,,,,
6582,mineral water,soup,milk,mashed potato,tomato juice,fresh bread,candy bars,,,,,,,,,,,,,
6583,herb & pepper,shrimp,spaghetti,,,,,,,,,,,,,,,,,
6584,chocolate,parmesan cheese,,,,,,,,,,,,,,,,,,
6585,burgers,whole wheat pasta,olive oil,green tea,,,,,,,,,,,,,,,,
6586,extra dark chocolate,green tea,cookies,,,,,,,,,,,,,,,,,
6587,eggs,,,,,,,,,,,,,,,,,,,
6588,cottage cheese,,,,,,,,,,,,,,,,,,,
6589,tomatoes,parmesan cheese,milk,french wine,fresh bread,,,,,,,,,,,,,,,
6590,shrimp,vegetables mix,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,
6591,red wine,carrots,tomato juice,,,,,,,,,,,,,,,,,
6592,chocolate,ground beef,,,,,,,,,,,,,,,,,,
6593,herb & pepper,mint green tea,,,,,,,,,,,,,,,,,,
6594,french fries,,,,,,,,,,,,,,,,,,,
6595,fresh tuna,whole wheat pasta,pepper,mineral water,meatballs,milk,olive oil,chicken,bacon,cake,gums,pancakes,yogurt cake,tomato juice,magazines,,,,,
6596,shrimp,ground beef,eggs,,,,,,,,,,,,,,,,,
6597,tomato juice,,,,,,,,,,,,,,,,,,,
6598,shrimp,frozen vegetables,avocado,frozen smoothie,,,,,,,,,,,,,,,,
6599,burgers,eggs,french fries,pancakes,,,,,,,,,,,,,,,,
6600,mineral water,,,,,,,,,,,,,,,,,,,
6601,shrimp,milk,french fries,,,,,,,,,,,,,,,,,
6602,cereals,french fries,light mayo,,,,,,,,,,,,,,,,,
6603,eggs,cake,light mayo,,,,,,,,,,,,,,,,,
6604,body spray,yogurt cake,,,,,,,,,,,,,,,,,,
6605,milk,cottage cheese,,,,,,,,,,,,,,,,,,
6606,vegetables mix,energy drink,,,,,,,,,,,,,,,,,,
6607,mineral water,,,,,,,,,,,,,,,,,,,
6608,burgers,frozen vegetables,whole wheat pasta,milk,green tea,,,,,,,,,,,,,,,
6609,grated cheese,yams,muffins,oil,protein bar,,,,,,,,,,,,,,,
6610,ground beef,spaghetti,eggplant,green tea,,,,,,,,,,,,,,,,
6611,brownies,,,,,,,,,,,,,,,,,,,
6612,whole wheat pasta,ground beef,mineral water,chocolate,eggs,hot dogs,,,,,,,,,,,,,,
6613,red wine,vegetables mix,mushroom cream sauce,,,,,,,,,,,,,,,,,
6614,brownies,,,,,,,,,,,,,,,,,,,
6615,chocolate,salmon,french fries,cookies,tomato juice,,,,,,,,,,,,,,,
6616,chocolate,frozen vegetables,ground beef,mineral water,honey,energy drink,green tea,,,,,,,,,,,,,
6617,turkey,mineral water,avocado,honey,green tea,,,,,,,,,,,,,,,
6618,grated cheese,cookies,,,,,,,,,,,,,,,,,,
6619,ground beef,mineral water,eggs,soda,low fat yogurt,,,,,,,,,,,,,,,
6620,chicken,whole wheat rice,,,,,,,,,,,,,,,,,,
6621,pancakes,,,,,,,,,,,,,,,,,,,
6622,whole wheat rice,,,,,,,,,,,,,,,,,,,
6623,chocolate,spaghetti,mineral water,soup,cottage cheese,,,,,,,,,,,,,,,
6624,turkey,blueberries,white wine,,,,,,,,,,,,,,,,,
6625,spaghetti,mineral water,body spray,protein bar,,,,,,,,,,,,,,,,
6626,parmesan cheese,,,,,,,,,,,,,,,,,,,
6627,spinach,ketchup,pancakes,tomato juice,green tea,,,,,,,,,,,,,,,
6628,clothes accessories,antioxydant juice,green tea,,,,,,,,,,,,,,,,,
6629,red wine,mineral water,chocolate,butter,cereals,antioxydant juice,protein bar,,,,,,,,,,,,,
6630,frozen vegetables,escalope,,,,,,,,,,,,,,,,,,
6631,shrimp,,,,,,,,,,,,,,,,,,,
6632,burgers,mineral water,soup,cereals,,,,,,,,,,,,,,,,
6633,tomatoes,milk,whole wheat rice,,,,,,,,,,,,,,,,,
6634,frozen vegetables,soup,milk,olive oil,,,,,,,,,,,,,,,,
6635,turkey,spinach,eggs,,,,,,,,,,,,,,,,,
6636,burgers,,,,,,,,,,,,,,,,,,,
6637,extra dark chocolate,,,,,,,,,,,,,,,,,,,
6638,chocolate,,,,,,,,,,,,,,,,,,,
6639,ground beef,,,,,,,,,,,,,,,,,,,
6640,escalope,,,,,,,,,,,,,,,,,,,
6641,soda,,,,,,,,,,,,,,,,,,,
6642,ground beef,almonds,,,,,,,,,,,,,,,,,,
6643,burgers,eggs,frozen smoothie,body spray,,,,,,,,,,,,,,,,
6644,shrimp,spaghetti,energy bar,,,,,,,,,,,,,,,,,
6645,spaghetti,french wine,salmon,frozen smoothie,cottage cheese,,,,,,,,,,,,,,,
6646,antioxydant juice,,,,,,,,,,,,,,,,,,,
6647,milk,cookies,,,,,,,,,,,,,,,,,,
6648,tomatoes,flax seed,escalope,mushroom cream sauce,pancakes,green tea,,,,,,,,,,,,,,
6649,mineral water,whole wheat rice,french fries,escalope,hot dogs,cottage cheese,pancakes,green tea,,,,,,,,,,,,
6650,spaghetti,muffins,,,,,,,,,,,,,,,,,,
6651,ham,muffins,eggs,french fries,cottage cheese,fresh bread,,,,,,,,,,,,,,
6652,mineral water,,,,,,,,,,,,,,,,,,,
6653,eggs,white wine,,,,,,,,,,,,,,,,,,
6654,fresh tuna,ground beef,chocolate,butter,eggs,rice,chicken,green tea,french fries,,,,,,,,,,,
6655,honey,zucchini,,,,,,,,,,,,,,,,,,
6656,chocolate,shrimp,cereals,champagne,green tea,,,,,,,,,,,,,,,
6657,champagne,,,,,,,,,,,,,,,,,,,
6658,gums,escalope,mushroom cream sauce,,,,,,,,,,,,,,,,,
6659,turkey,grated cheese,mineral water,milk,butter,whole wheat rice,,,,,,,,,,,,,,
6660,spaghetti,soup,olive oil,cake,extra dark chocolate,,,,,,,,,,,,,,,
6661,mineral water,rice,cottage cheese,pancakes,,,,,,,,,,,,,,,,
6662,burgers,,,,,,,,,,,,,,,,,,,
6663,frozen vegetables,ground beef,mineral water,french wine,chutney,chicken,eggplant,,,,,,,,,,,,,
6664,spaghetti,mineral water,french fries,,,,,,,,,,,,,,,,,
6665,french fries,escalope,,,,,,,,,,,,,,,,,,
6666,energy drink,,,,,,,,,,,,,,,,,,,
6667,grated cheese,whole wheat pasta,mineral water,chocolate,milk,olive oil,french wine,,,,,,,,,,,,,
6668,chocolate,almonds,green grapes,eggs,cake,french fries,escalope,,,,,,,,,,,,,
6669,milk,fresh bread,,,,,,,,,,,,,,,,,,
6670,frozen vegetables,tomatoes,parmesan cheese,,,,,,,,,,,,,,,,,
6671,escalope,,,,,,,,,,,,,,,,,,,
6672,parmesan cheese,french wine,,,,,,,,,,,,,,,,,,
